epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.09763,0,204.789,0,0,0,0,0,0,57.5016,0,1.667e-05,1.667e-05,1.667e-05
2,18.1422,0,155.544,0,0,0,0,0,0,76.0265,0,4.5059e-05,4.5059e-05,4.5059e-05
3,27.2238,0,123.477,0,0,0,0,0,0,74.4653,0,6.68467e-05,6.68467e-05,6.68467e-05
4,37.08,0,99.5002,0,0,0,0,0,0,148.491,0,8.20331e-05,8.20331e-05,8.20331e-05
5,46.9953,0,84.1077,0,0,0,0,0,0,184.088,0,9.06181e-05,9.06181e-05,9.06181e-05
6,56.6868,0,70.4589,0,0,0,0,0,0,224.632,0,9.26019e-05,9.26019e-05,9.26019e-05
7,66.1005,0,58.2779,0,0,0,0,0,0,204.642,0,8.79843e-05,8.79843e-05,8.79843e-05
8,75.4355,0,49.7662,0,0,0,0,0,0,95.9292,0,7.67654e-05,7.67654e-05,7.67654e-05
9,84.9438,0,43.3626,0,0,0,0,0,0,71.9179,0,5.89451e-05,5.89451e-05,5.89451e-05
10,93.9522,0,42.343,0,0,0,0,0,0,49.9324,0,3.45236e-05,3.45236e-05,3.45236e-05
