epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6348,0,231.785,0,0,0,0,0,0,148.968,0,3.334e-05,3.334e-05,3.334e-05
2,34.2035,0,150.489,0,0,0,0,0,0,192.191,0,7.50984e-05,7.50984e-05,7.50984e-05
3,53.0727,0,110.437,0,0,0,0,0,0,607.243,0,0.000106955,0.000106955,0.000106955
4,70.7218,0,82.9775,0,0,0,0,0,0,846.547,0,0.000128909,0.000128909,0.000128909
5,87.3271,0,60.8164,0,0,0,0,0,0,2184.95,0,0.000140962,0.000140962,0.000140962
6,104.092,0,45.5813,0,0,0,0,0,0,2006.65,0,0.000143112,0.000143112,0.000143112
7,120.672,0,38.9662,0,0,0,0,0,0,278.863,0,0.00013536,0.00013536,0.00013536
8,137.553,0,34.1122,0,0,0,0,0,0,152.193,0,0.000117707,0.000117707,0.000117707
9,154.365,0,31.3896,0,0,0,0,0,0,172.402,0,9.01514e-05,9.01514e-05,9.01514e-05
10,170.951,0,29.182,0,0,0,0,0,0,152.389,0,5.26939e-05,5.26939e-05,5.26939e-05
