epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9859,0,242.404,0,0,0,0,0,0,137.894,0,3.334e-05,3.334e-05,3.334e-05
2,34.3416,0,149.422,0,0,0,0,0,0,164.669,0,8.05995e-05,8.05995e-05,8.05995e-05
3,53.0812,0,104.215,0,0,0,0,0,0,438.178,0,0.000124558,0.000124558,0.000124558
4,69.8541,0,76.1257,0,0,0,0,0,0,3401.86,0,0.000165216,0.000165216,0.000165216
5,86.6582,0,51.5892,0,0,0,0,0,0,2852.12,0,0.000202574,0.000202574,0.000202574
6,103.538,0,35.8442,0,0,0,0,0,0,745.954,0,0.000236631,0.000236631,0.000236631
7,120.471,0,29.557,0,0,0,0,0,0,216.199,0,0.000267387,0.000267387,0.000267387
8,137.509,0,24.8073,0,0,0,0,0,0,71.2954,0,0.000294842,0.000294842,0.000294842
9,154.427,0,21.2985,0,0,0,0,0,0,88.6323,0,0.000318997,0.000318997,0.000318997
10,171.485,0,18.4357,0,0,0,0,0,0,137.997,0,0.000339851,0.000339851,0.000339851
11,188.748,0,15.5688,0,0,0,0,0,0,120.942,0,0.000357405,0.000357405,0.000357405
12,205.665,0,13.6124,0,0,0,0,0,0,138.697,0,0.000371658,0.000371658,0.000371658
13,222.914,0,13.5492,0,0,0,0,0,0,298.456,0,0.00038261,0.00038261,0.00038261
14,240.42,0,10.8577,0,0,0,0,0,0,331.824,0,0.000390261,0.000390261,0.000390261
15,257.526,0,9.39286,0,0,0,0,0,0,175.352,0,0.000394612,0.000394612,0.000394612
16,274.397,0,7.92768,0,0,0,0,0,0,65.1273,0,0.000395662,0.000395662,0.000395662
17,291.547,0,7.14274,0,0,0,0,0,0,33.0663,0,0.000393412,0.000393412,0.000393412
18,308.408,0,6.17369,0,0,0,0,0,0,20.5772,0,0.000387861,0.000387861,0.000387861
19,325.22,0,5.76588,0,0,0,0,0,0,10.0005,0,0.000379009,0.000379009,0.000379009
20,341.78,0,5.18522,0,0,0,0,0,0,6.40915,0,0.000366857,0.000366857,0.000366857
21,358.399,0,4.99621,0,0,0,0,0,0,6.05809,0,0.000351404,0.000351404,0.000351404
22,375.383,0,4.52801,0,0,0,0,0,0,6.17689,0,0.00033265,0.00033265,0.00033265
23,392.162,0,4.11063,0,0,0,0,0,0,5.4464,0,0.000310595,0.000310595,0.000310595
24,408.989,0,3.77941,0,0,0,0,0,0,4.30309,0,0.00028524,0.00028524,0.00028524
25,425.841,0,3.6695,0,0,0,0,0,0,3.05075,0,0.000256585,0.000256585,0.000256585
26,442.689,0,3.42773,0,0,0,0,0,0,2.50434,0,0.000224628,0.000224628,0.000224628
27,459.605,0,3.36677,0,0,0,0,0,0,2.16988,0,0.000189371,0.000189371,0.000189371
28,476.512,0,3.04342,0,0,0,0,0,0,2.01941,0,0.000150813,0.000150813,0.000150813
29,493.139,0,3.05752,0,0,0,0,0,0,2.01941,0,0.000108955,0.000108955,0.000108955
30,509.846,0,2.99615,0,0,0,0,0,0,1.99405,0,6.37961e-05,6.37961e-05,6.37961e-05
